episode,total_reward,steps,success,epsilon,q_states
155,-618,200,0,0.8563487636013172,5311
156,50,11,1,0.8554924148377159,5316
157,-623,200,0,0.8546369224228781,5366
158,-625,200,0,0.8537822855004553,5420
159,-301,167,1,0.8529285032149548,5439
160,-3,47,1,0.8520755747117399,5459
161,-26,63,1,0.8512234991370281,5469
162,-611,200,0,0.8503722756378911,5519
163,-90,89,1,0.8495219033622532,5541
164,-749,200,0,0.8486723814588909,5569
165,104,3,1,0.847823709077432,5569
166,48,32,1,0.8469758853683546,5588
167,-317,144,1,0.8461289094829862,5609
168,-431,161,1,0.8452827805735033,5650
169,-283,145,1,0.8444374977929298,5691
170,-601,200,0,0.8435930602951368,5742
171,-133,96,1,0.8427494672348417,5778
172,54,24,1,0.8419067177676068,5788
173,-237,109,1,0.8410648110498392,5806
174,-289,116,1,0.8402237462387894,5843
175,-570,200,0,0.8393835224925505,5874
176,-305,172,1,0.838544138970058,5903
177,-35,66,1,0.8377055948310879,5925
178,-475,200,0,0.8368678892362568,5951
179,-597,200,0,0.8360310213470206,6005
180,4,28,1,0.8351949903256736,6014
181,-354,144,1,0.8343597953353479,6052
182,89,11,1,0.8335254355400126,6058
183,-388,161,1,0.8326919101044725,6093
184,-426,200,0,0.831859218194368,6160
185,-26,25,1,0.8310273589761736,6165
186,-360,173,1,0.8301963316171974,6204
187,-556,200,0,0.8293661352855802,6228
188,-697,200,0,0.8285367691502946,6267
189,-338,144,1,0.8277082323811443,6293
190,93,5,1,0.8268805241487632,6297
191,-372,174,1,0.8260536436246144,6329
192,-501,177,1,0.8252275899809898,6363
193,-226,140,1,0.8244023623910088,6376
194,-178,114,1,0.8235779600286178,6388
195,102,2,1,0.8227543820685892,6390
196,-7,51,1,0.8219316276865206,6400
197,28,35,1,0.8211096960588341,6413
198,-240,127,1,0.8202885863627752,6447
199,-210,109,1,0.8194682977764125,6471
200,-507,180,1,0.818648829478636,6491
201,35,21,1,0.8178301806491574,6496
202,-30,49,1,0.8170123504685082,6503
203,-219,125,1,0.8161953381180397,6533
204,-595,200,0,0.8153791427799216,6562
205,-463,171,1,0.8145637636371417,6602
206,-190,113,1,0.8137491998735046,6642
207,-333,135,1,0.812935450673631,6668
208,-383,145,1,0.8121225152229574,6714
209,-522,200,0,0.8113103927077344,6752
210,-6,53,1,0.8104990823150267,6759
211,-531,200,0,0.8096885832327116,6779
212,-115,98,1,0.8088788946494789,6792
213,-532,200,0,0.8080700157548294,6838
214,-314,168,1,0.8072619457390746,6879
215,-677,200,0,0.8064546837933355,6911
216,110,10,1,0.8056482291095421,6920
217,-644,200,0,0.8048425808804326,6964
218,-479,200,0,0.8040377382995522,7023
219,-633,200,0,0.8032337005612527,7088
220,68,15,1,0.8024304668606914,7093
221,-349,139,1,0.8016280363938307,7121
222,-437,200,0,0.8008264083574369,7180
223,-372,164,1,0.8000255819490795,7215
224,-146,69,1,0.7992255563671304,7232
225,-530,200,0,0.7984263308107633,7277
226,5,43,1,0.7976279044799526,7289
227,-184,89,1,0.7968302765754727,7306
228,-120,84,1,0.7960334462988972,7331
229,-584,200,0,0.7952374128525983,7359
230,-389,172,1,0.7944421754397457,7409
231,-467,167,1,0.7936477332643059,7457
232,-177,102,1,0.7928540855310416,7470
233,-356,163,1,0.7920612314455105,7515
234,-321,143,1,0.7912691702140651,7541
235,-118,90,1,0.790477901043851,7564
236,-337,152,1,0.7896874231428072,7599
237,100,1,1,0.7888977357196644,7600
238,-335,170,1,0.7881088379839447,7644
239,-412,189,1,0.7873207291459607,7688
240,-262,104,1,0.7865334084168147,7706
241,-102,69,1,0.7857468750083979,7722
242,47,23,1,0.7849611281333895,7724
243,-385,170,1,0.784176167005256,7743
244,-95,72,1,0.7833919908382508,7768
245,-142,96,1,0.7826085988474126,7786
246,-192,112,1,0.7818259902485653,7814
247,-346,187,1,0.7810441642583167,7866
248,-110,92,1,0.7802631200940584,7870
249,-142,93,1,0.7794828569739644,7903
250,-83,53,1,0.7787033741169904,7926
251,-337,166,1,0.7779246707428734,7971
252,-451,197,1,0.7771467460721305,8022
253,87,11,1,0.7763695993260584,8031
254,-186,98,1,0.7755932297267324,8056
255,25,21,1,0.7748176364970056,8064
256,-115,85,1,0.7740428188605086,8078
257,-341,173,1,0.7732687760416481,8097
258,20,48,1,0.7724955072656065,8111
259,-454,200,0,0.7717230117583408,8170
260,-319,141,1,0.7709512887465825,8212
261,-546,200,0,0.7701803374578359,8259
262,-579,200,0,0.7694101571203781,8302
263,5,73,1,0.7686407469632577,8324
264,-52,69,1,0.7678721062162944,8341
265,-607,200,0,0.7671042341100781,8375
266,80,8,1,0.766337129875968,8381
267,-69,78,1,0.7655707927460921,8408
268,66,19,1,0.764805221953346,8409
269,102,2,1,0.7640404167313927,8410
270,-783,200,0,0.7632763763146613,8451
271,-130,88,1,0.7625130999383466,8479
272,80,12,1,0.7617505868384082,8481
273,88,9,1,0.7609888362515699,8482
274,-633,200,0,0.7602278474153183,8522
275,-558,200,0,0.759467619567903,8562
276,-10,39,1,0.7587081519483351,8574
277,-152,86,1,0.7579494437963867,8597
278,-113,77,1,0.7571914943525904,8619
279,-373,173,1,0.7564343028582378,8664
280,-497,200,0,0.7556778685553796,8699
281,-472,200,0,0.7549221906868242,8729
282,100,1,1,0.7541672684961374,8729
283,-345,182,1,0.7534131012276413,8770
284,-207,135,1,0.7526596881264136,8781
285,-235,104,1,0.7519070284382872,8801
286,-638,200,0,0.7511551214098489,8862
287,-465,200,0,0.750403966288439,8910
288,-100,78,1,0.7496535623221505,8930
289,-220,129,1,0.7489039087598284,8970
290,-151,101,1,0.7481550048510686,9008
291,92,9,1,0.7474068498462175,9010
292,15,34,1,0.7466594429963713,9026
293,-200,129,1,0.745912783553375,9043
294,-251,139,1,0.7451668707698216,9071
295,-547,185,1,0.7444217038990517,9113
296,-518,200,0,0.7436772821951526,9167
297,38,33,1,0.7429336049129575,9168
298,15,37,1,0.7421906713080445,9172
299,50,25,1,0.7414484806367364,9180
300,-268,142,1,0.7407070321560997,9216
301,22,42,1,0.7399663251239436,9224
302,-317,139,1,0.7392263587988196,9258
303,-252,136,1,0.7384871324400207,9282
304,-146,83,1,0.7377486453075807,9291
305,-126,65,1,0.737010896662273,9313
306,-99,90,1,0.7362738857656108,9329
307,78,14,1,0.7355376118798452,9335
308,-222,136,1,0.7348020742679654,9362
309,54,29,1,0.7340672721936974,9372
310,-125,113,1,0.7333332049215037,9390
311,51,21,1,0.7325998717165821,9399
312,-1,64,1,0.7318672718448656,9425
313,-310,186,1,0.7311354045730207,9454
314,75,20,1,0.7304042691684477,9456
315,-293,143,1,0.7296738648992792,9493
316,58,25,1,0.7289441910343799,9505
317,100,1,1,0.7282152468433455,9505
318,82,4,1,0.7274870315965022,9505
319,-505,200,0,0.7267595445649057,9552
320,-495,200,0,0.7260327850203407,9590
321,64,10,1,0.7253067522353204,9594
322,-265,112,1,0.724581445483085,9628
323,-273,143,1,0.723856864037602,9675
324,-344,138,1,0.7231330071735643,9701
325,-537,200,0,0.7224098741663908,9746
326,68,18,1,0.7216874642922244,9750
327,-247,108,1,0.7209657768279322,9778
328,98,6,1,0.7202448110511043,9778
329,-168,137,1,0.7195245662400531,9796
330,-380,200,0,0.7188050416738131,9826
331,-134,84,1,0.7180862366321393,9836
332,-19,40,1,0.7173681503955072,9848
333,-86,96,1,0.7166507822451117,9875
334,-124,132,1,0.7159341314628666,9887
335,-162,118,1,0.7152181973314037,9913
336,-273,154,1,0.7145029791340722,9942
337,77,29,1,0.7137884761549381,9955
338,96,5,1,0.7130746876787832,9955
339,64,9,1,0.7123616129911045,9956
340,-66,77,1,0.7116492513781133,9973
341,-312,134,1,0.7109376021267352,10013
342,-107,109,1,0.7102266645246085,10031
343,-324,152,1,0.7095164378600839,10063
344,-640,200,0,0.7088069214222238,10108
345,-184,117,1,0.7080981145008015,10149
346,-129,71,1,0.7073900163863007,10173
347,71,36,1,0.7066826263699144,10176
348,70,7,1,0.7059759437435444,10178
349,-143,98,1,0.7052699677998009,10198
350,-369,157,1,0.704564697832001,10226
351,-17,54,1,0.7038601331341691,10235
352,-256,120,1,0.7031562730010349,10261
353,-3,43,1,0.7024531167280339,10266
354,22,52,1,0.7017506636113059,10283
355,-170,122,1,0.7010489129476946,10313
356,-199,95,1,0.7003478640347469,10333
357,-185,91,1,0.6996475161707122,10351
358,7,69,1,0.6989478686545415,10365
359,59,31,1,0.698248920785887,10379
360,-135,73,1,0.6975506718651011,10393
361,-8,61,1,0.6968531211932361,10405
362,-101,84,1,0.6961562680720428,10428
363,-58,58,1,0.6954601118039707,10435
364,70,34,1,0.6947646516921667,10439
365,-11,47,1,0.6940698870404746,10456
366,27,44,1,0.6933758171534341,10457
367,64,42,1,0.6926824413362807,10465
368,-295,165,1,0.6919897588949444,10484
369,90,2,1,0.6912977691360495,10485
370,94,8,1,0.6906064713669134,10487
371,-3,59,1,0.6899158648955466,10501
372,-319,143,1,0.689225949030651,10544
373,-194,129,1,0.6885367230816204,10589
374,-36,92,1,0.6878481863585387,10594
375,-167,103,1,0.6871603381721801,10613
376,-201,125,1,0.686473177834008,10631
377,63,24,1,0.685786704656174,10633
378,-113,115,1,0.6851009179515178,10671
379,-42,73,1,0.6844158170335664,10680
380,-12,67,1,0.6837314012165328,10697
381,-67,53,1,0.6830476698153162,10716
382,-164,111,1,0.6823646221455009,10737
383,-263,118,1,0.6816822575233553,10767
384,-51,85,1,0.6810005752658319,10781
385,-161,96,1,0.680319574690566,10805
386,31,39,1,0.6796392551158754,10808
387,97,6,1,0.6789596158607596,10809
388,26,39,1,0.6782806562448989,10821
389,90,6,1,0.677602375588654,10822
390,-220,119,1,0.6769247732130653,10858
391,15,47,1,0.6762478484398523,10873
392,-253,165,1,0.6755716005914124,10908
393,18,56,1,0.674896028990821,10910
394,20,46,1,0.6742211329618302,10922
395,-88,76,1,0.6735469118288684,10946
396,69,20,1,0.6728733649170395,10954
397,-556,200,0,0.6722004915521225,10998
398,-508,200,0,0.6715282910605703,11049
399,-242,126,1,0.6708567627695098,11083
400,-279,155,1,0.6701859060067403,11124
401,0,45,1,0.6695157201007336,11131
402,-99,74,1,0.6688462043806328,11165
403,11,51,1,0.6681773581762521,11174
404,85,14,1,0.6675091808180759,11180
405,-325,135,1,0.6668416716372578,11215
406,100,1,1,0.6661748299656206,11216
407,-107,95,1,0.6655086551356549,11243
408,74,14,1,0.6648431464805192,11245
409,21,59,1,0.6641783033340387,11246
410,9,66,1,0.6635141250307047,11252
411,-91,107,1,0.662850610905674,11287
412,74,16,1,0.6621877602947683,11288
413,64,20,1,0.6615255725344735,11292
414,54,27,1,0.660864046961939,11297
415,-16,48,1,0.660203182914977,11310
416,-69,58,1,0.6595429797320621,11325
417,-95,97,1,0.6588834367523301,11336
418,15,24,1,0.6582245533155777,11343
419,-57,68,1,0.6575663287622622,11369
420,-243,120,1,0.6569087624334999,11416
421,-62,61,1,0.6562518536710664,11434
422,-245,127,1,0.6555956018173954,11476
423,-241,113,1,0.654940006215578,11509
424,-155,129,1,0.6542850662093624,11529
425,22,43,1,0.6536307811431531,11539
426,-19,71,1,0.65297715036201,11547
427,26,37,1,0.6523241732116479,11557
428,-195,134,1,0.6516718490384363,11600
429,67,17,1,0.6510201771893979,11605
430,3,43,1,0.6503691570122084,11612
431,-6,48,1,0.6497187878551962,11628
432,-7,53,1,0.649069069067341,11635
433,35,34,1,0.6484199999982736,11637
434,101,10,1,0.6477715799982753,11643
435,-122,82,1,0.647123808418277,11658
436,102,11,1,0.6464766846098587,11658
437,97,3,1,0.6458302079252489,11661
438,9,63,1,0.6451843777173236,11666
439,-310,146,1,0.6445391933396063,11701
440,84,15,1,0.6438946541462667,11708
441,67,31,1,0.6432507594921204,11711
442,102,3,1,0.6426075087326283,11711
443,42,54,1,0.6419649012238956,11729
444,-261,167,1,0.6413229363226717,11753
445,52,51,1,0.640681613386349,11770
446,78,26,1,0.6400409317729626,11772
447,-35,61,1,0.6394008908411897,11796
448,13,41,1,0.6387614899503485,11812
449,-182,151,1,0.6381227284603982,11835
450,-341,119,1,0.6374846057319378,11869
451,22,52,1,0.6368471211262058,11874
452,-663,200,0,0.6362102740050796,11912
453,-178,94,1,0.6355740637310745,11940
454,36,44,1,0.6349384896673435,11948
455,-175,98,1,0.6343035511776761,11963
456,-574,200,0,0.6336692476264985,12007
457,53,19,1,0.6330355783788719,12011
458,-7,43,1,0.632402542800493,12026
459,-199,88,1,0.6317701402576925,12055
460,100,7,1,0.6311383701174348,12060
461,-171,102,1,0.6305072317473174,12096
462,-176,123,1,0.6298767245155701,12135
463,-69,82,1,0.6292468477910546,12152
464,49,24,1,0.6286176009432635,12162
465,-594,200,0,0.6279889833423202,12234
466,61,31,1,0.6273609943589779,12241
467,-11,60,1,0.6267336333646188,12254
468,-131,100,1,0.6261068997312542,12285
469,-149,82,1,0.6254807928315229,12305
470,-28,52,1,0.6248553120386914,12328
471,-82,77,1,0.6242304567266527,12336
472,-61,53,1,0.623606226269926,12345
473,57,40,1,0.6229826200436561,12359
474,27,35,1,0.6223596374236124,12362
475,46,22,1,0.6217372777861888,12365
476,-29,66,1,0.6211155405084027,12374
477,-96,85,1,0.6204944249678943,12400
478,-567,200,0,0.6198739305429264,12449
479,2,54,1,0.6192540566123834,12456
480,104,3,1,0.6186348025557711,12456
481,98,6,1,0.6180161677532153,12456
482,21,73,1,0.6173981515854621,12473
483,100,7,1,0.6167807534338766,12477
484,-366,178,1,0.6161639726804428,12524
485,-132,110,1,0.6155478087077623,12546
486,-125,69,1,0.6149322608990545,12574
487,-76,92,1,0.6143173286381555,12607
488,-158,91,1,0.6137030113095173,12632
489,80,17,1,0.6130893082982078,12633
490,-167,89,1,0.6124762189899097,12660
491,-290,172,1,0.6118637427709198,12681
492,-243,149,1,0.6112518790281489,12719
493,-2,43,1,0.6106406271491208,12734
494,86,11,1,0.6100299865219717,12737
495,18,33,1,0.6094199565354498,12742
496,-107,106,1,0.6088105365789144,12758
497,101,2,1,0.6082017260423355,12758
498,-12,64,1,0.6075935243162931,12781
499,-18,46,1,0.6069859307919768,12796
500,-25,54,1,0.6063789448611848,12818
501,-22,63,1,0.6057725659163237,12824
502,-158,90,1,0.6051667933504074,12838
503,44,22,1,0.6045616265570569,12843
504,-49,67,1,0.6039570649304998,12860
505,88,8,1,0.6033531078655693,12863
506,2,36,1,0.6027497547577038,12873
507,-132,88,1,0.602147005002946,12892
508,-23,57,1,0.6015448579979431,12917
509,-65,81,1,0.6009433131399452,12932
510,62,27,1,0.6003423698268052,12936
511,-43,56,1,0.5997420274569785,12950
512,78,7,1,0.5991422854295215,12952
513,98,9,1,0.598543143144092,12954
514,79,31,1,0.5979446000009478,12961
515,22,22,1,0.5973466554009469,12968
516,23,35,1,0.596749308745546,12977
517,55,33,1,0.5961525594368005,12979
518,-36,66,1,0.5955564068773637,12988
519,-167,108,1,0.5949608504704863,13016
520,56,20,1,0.5943658896200158,13021
521,-31,47,1,0.5937715237303958,13028
522,-36,70,1,0.5931777522066654,13039
523,82,17,1,0.5925845744544587,13041
524,108,5,1,0.5919919898800042,13042
525,-328,134,1,0.5913999978901242,13084
526,73,18,1,0.590808597892234,13085
527,40,20,1,0.5902177892943418,13092
528,-379,174,1,0.5896275715050474,13122
529,-23,70,1,0.5890379439335424,13128
530,-160,102,1,0.5884489059896089,13137
531,-112,72,1,0.5878604570836192,13153
532,-37,49,1,0.5872725966265356,13155
533,-21,44,1,0.5866853240299091,13167
534,-97,87,1,0.5860986387058792,13204
535,24,26,1,0.5855125400671733,13212
536,-12,48,1,0.5849270275271061,13223
537,47,58,1,0.584342100499579,13237
538,-136,101,1,0.5837577583990794,13267
539,54,20,1,0.5831740006406804,13272
540,83,11,1,0.5825908266400397,13275
541,30,27,1,0.5820082358133997,13283
542,-63,116,1,0.5814262275775862,13304
543,-186,114,1,0.5808448013500086,13327
544,-146,109,1,0.5802639565486586,13359
545,-117,96,1,0.57968369259211,13374
546,-64,67,1,0.5791040088995179,13383
547,46,56,1,0.5785249048906184,13398
548,84,18,1,0.5779463799857277,13400
549,98,3,1,0.577368433605742,13400
550,-28,59,1,0.5767910651721362,13420
551,76,19,1,0.576214274106964,13423
552,47,52,1,0.5756380598328571,13437
553,14,45,1,0.5750624217730242,13446
554,88,10,1,0.5744873593512512,13448
555,18,46,1,0.5739128719918999,13454
556,87,24,1,0.573338959119908,13462
557,100,32,1,0.572765620160788,13467
558,30,34,1,0.5721928545406272,13477
559,22,43,1,0.5716206616860866,13488
560,-91,83,1,0.5710490410244006,13504
561,-104,91,1,0.5704779919833761,13522
562,87,10,1,0.5699075139913927,13525
563,-9,53,1,0.5693376064774013,13535
564,19,57,1,0.5687682688709239,13549
565,23,62,1,0.5681995006020529,13579
566,61,17,1,0.5676313011014509,13580
567,-56,88,1,0.5670636698003494,13586
568,-118,73,1,0.5664966061305491,13612
569,26,49,1,0.5659301095244186,13618
570,92,3,1,0.5653641794148941,13618
571,-2,39,1,0.5647988152354793,13622
572,20,65,1,0.5642340164202437,13634
573,-60,81,1,0.5636697824038235,13652
574,62,36,1,0.5631061126214196,13654
575,-32,57,1,0.5625430065087982,13674
576,10,43,1,0.5619804635022894,13682
577,42,22,1,0.561418483038787,13686
578,37,40,1,0.5608570645557482,13700
579,-131,101,1,0.5602962074911925,13716
580,19,49,1,0.5597359112837013,13719
581,100,4,1,0.5591761753724176,13719
582,-28,66,1,0.5586169991970452,13745
583,-57,77,1,0.5580583821978482,13768
584,-134,93,1,0.5575003238156504,13792
585,-187,144,1,0.5569428234918348,13815
586,-319,163,1,0.5563858806683429,13869
587,-94,90,1,0.5558294947876746,13896
588,-99,118,1,0.5552736652928869,13925
589,7,41,1,0.5547183916275941,13941
590,69,29,1,0.5541636732359665,13947
591,-222,131,1,0.5536095095627305,13982
592,34,43,1,0.5530559000531677,13983
593,-38,47,1,0.5525028441531146,13996
594,108,6,1,0.5519503413089615,13997
595,92,6,1,0.5513983909676525,13999
596,-411,172,1,0.5508469925766849,14036
597,29,33,1,0.5502961455841082,14050
598,-38,59,1,0.5497458494385241,14064
599,81,16,1,0.5491961035890855,14064
600,66,28,1,0.5486469074854965,14071
601,-79,53,1,0.548098260578011,14086
602,-8,65,1,0.547550162317433,14103
603,-10,42,1,0.5470026121551156,14112
604,-127,81,1,0.5464556095429605,14128
605,86,9,1,0.5459091539334175,14133
606,108,14,1,0.5453632447794842,14133
607,86,9,1,0.5448178815347047,14134
608,49,32,1,0.54427306365317,14143
609,-196,112,1,0.5437287905895168,14172
610,-41,55,1,0.5431850617989273,14184
611,13,29,1,0.5426418767371284,14187
612,104,3,1,0.5420992348603912,14188
613,58,29,1,0.5415571356255309,14195
614,68,25,1,0.5410155784899053,14198
615,-26,43,1,0.5404745629114154,14208
616,109,6,1,0.539934088348504,14208
617,-294,121,1,0.5393941542601555,14233
618,58,31,1,0.5388547601058953,14239
619,88,7,1,0.5383159053457894,14239
620,-48,75,1,0.5377775894404436,14265
621,74,33,1,0.5372398118510032,14268
622,-57,65,1,0.5367025720391522,14286
623,91,9,1,0.536165869467113,14288
624,-173,92,1,0.5356297035976458,14309
625,-13,54,1,0.5350940738940482,14320
626,45,38,1,0.5345589798201541,14327
627,-202,132,1,0.534024420840334,14350
628,43,34,1,0.5334903964194936,14360
629,19,55,1,0.5329569060230741,14367
630,-32,71,1,0.532423949117051,14379
631,6,61,1,0.531891525167934,14391
632,6,38,1,0.5313596336427661,14399
633,-73,61,1,0.5308282740091232,14407
634,19,45,1,0.5302974457351142,14426
635,-389,166,1,0.5297671482893791,14465
636,-29,64,1,0.5292373811410898,14473
637,91,58,1,0.5287081437599487,14485
638,-49,52,1,0.5281794356161887,14490
639,-31,62,1,0.5276512561805725,14496
640,-95,76,1,0.5271236049243919,14517
641,-116,95,1,0.5265964813194676,14552
642,88,52,1,0.5260698848381481,14558
643,-38,74,1,0.5255438149533099,14573
644,102,18,1,0.5250182711383566,14573
645,-8,61,1,0.5244932528672183,14586
646,70,25,1,0.5239687596143511,14593
647,-62,55,1,0.5234447908547367,14610
648,-82,83,1,0.522921346063882,14626
649,4,58,1,0.522398424717818,14638
650,-6,54,1,0.5218760262931003,14656
651,76,21,1,0.5213541502668072,14658
652,84,14,1,0.5208327961165404,14662
653,46,32,1,0.5203119633204238,14667
654,-97,93,1,0.5197916513571034,14692
655,88,10,1,0.5192718597057463,14695
656,69,31,1,0.5187525878460405,14697
657,-44,63,1,0.5182338352581944,14718
658,64,22,1,0.5177156014229363,14721
659,92,12,1,0.5171978858215134,14721
660,-226,121,1,0.5166806879356919,14759
661,89,18,1,0.5161640072477562,14761
662,38,33,1,0.5156478432405085,14770
663,-11,67,1,0.515132195397268,14796
664,89,22,1,0.5146170632018707,14802
665,25,40,1,0.5141024461386688,14811
666,56,25,1,0.5135883436925301,14812
667,66,38,1,0.5130747553488376,14816
668,39,43,1,0.5125616805934888,14829
669,19,49,1,0.5120491189128954,14843
670,-157,106,1,0.5115370697939825,14880
671,100,34,1,0.5110255327241885,14883
672,-54,68,1,0.5105145071914643,14900
673,-194,113,1,0.5100039926842729,14915
674,82,33,1,0.5094939886915886,14919
675,-38,57,1,0.508984494702897,14926
676,53,23,1,0.508475510208194,14930
677,80,12,1,0.5079670346979859,14933
678,66,11,1,0.5074590676632879,14933
679,-70,56,1,0.5069516085956246,14947
